comment_text,label
我很佩服国外一些真·女权人士 为追求平等权利  而国内大部分都是田园👊基本上都是为了拿特权,1
"看来你的脑子真是有问题，你连你讨论的目标该是什么人都搞不清楚吗？我们在讨论的是事件外评论者呢，ok？不过你的口气显然不是在讨论，是想抬扛还是想撕B？如果是后者恕不奉陪，你继续以“女权""身份另辟战场吧,你如果不是智商有问题，那也至少阅读理解有问题，你从博主的哪一条看到了她支持家暴，她一开始就强调应该先做人，你回避这一点是不是因为你也如那个什么元元一样觉得做不到先做个正直的好人啊😅",1
大魔王和马良吧！这两个人简直标准答案，其它人也不抄一下😅,0
我一开始了解狗粉丝是因为演员热依扎，当时她因为抑郁症精神状态很不好，大批狗粉丝辱骂她让她早点死，被热依扎转发挂出来后又修改微博道歉假装被网爆，真的很脑瘫一群人😢,0
有意识地建立自己的社群也很重要，一个人不穿bra走在路上孤单单，一群人不穿bra走在路上理直气壮，也算是主动改变外部环境了,0
但现在的女⭕️运动，很多时候还只是平权运动而已😣。,0
明确拒绝了的，发好人卡的，就不要再去打扰了，这是个真理，记得这个就好了（论我一个👨的拒绝别人被当成高冷和傲娇真的很烦，我当着他面说了不喜欢他了，还跑过来缠着我，请问是有什么毛病吗？,0
厌男直女对所有腩亻平等面对，怎么能叫incel?我们明明是平权派啊🥰,1
转发了他们也当看不见，我们谴责伊斯兰教泯灭人性的时候他们还意淫女权👊舔伊斯兰男人呢，他们反女权已经反到没有逻辑了,1
确实 我就是田园女权 有田有园好香啊,0
为何要走？要是告诉你活着就得被性骚扰你是选择不活了还是选择反抗？,0
抛开这个新闻，现实里是有女方家暴的。案例比较少，但是确实有。而且一般家暴的女性并不特别强壮，被家暴的👨性也不虚弱。就算是👨性家暴的例子里还有女的是一个大公司的CEO还被丈夫打到不敢往外说半句话的。人心理是没法琢磨的,0
尽管我们试图幻想出最后一丝“他们不是真反女⭕️”的希望，并试图像教小孩子拼音那样解释各个流派的女⭕️理论思潮的常识以证明均不存在他们口中所谓“伪女⭕️”的概念和主张。但一来他们并不是真的像👶不懂这么简单的逻辑，二来集体无意识在现阶段本来就挺无解的。,0
你说她除女权外，不顾及少数群体利益是对的，说是👨权伪装女权就明显不符合事实了。这人我也见过很多次了，反正不喜欢就没fo ，不过也不至于随口污蔑她是屌癌。,0
这个社会对👩‍🦰太苛刻了。我遇过一模一样的事情，受不了去举报了，结果却是被质疑，被泼脏水污蔑人格人品，难听的话脏水各种，到现在都心里沉重阴影，加害者还各种背后造谣我的人品人格，这个社会对女性很残酷，,0
这不叫极端女权，这叫特权。女权，要的是与男性平等的权利，不论极端还是温和。只要权利不要义务，那就是特权，不论依仗着有子宫还是有精囊，要特权的都是一群魂淡，没差别。麻烦以后把这批人称为女性特权要求者或者特权女，别污名化女权😅。,1
女权婊有本事用大号，不然把你妈按在地上摩擦😍//,1
现在的婚姻制度里👩性就是隐性奴隶,1
这不是要求高不高的问题，这已经完全南辕北辙了，图上这人也完全不激进女⭕️，攻击弱势群体不要太保守🙅,0
