text,label
真这样做这么想的人，要么婚前签订婚前协议，要么别结婚，结婚结成这样相互防着，真难受,0
少说两句吧 田园女权也是可怜 可能从小孤儿 不知道啥是爹,1
听过rap的motherfucker听的还少吗……真不知道喷点在哪儿,0
写婴灵缠死生父的恐怖短篇其实已写了两个了,0
这是一个👽,0
是的。我也觉得虽然近年的确越来越多男性代言化妆品，但也缺少女性代言数据对比论证。,0
对嘛！首先要尊重自己父母，还要学会尊重别人不同的选择。,0
那是相互掩盖，一样黑甚至现在更黑。因为现在中国太有钱，资本侵入娱乐圈，只会更黑，好吗！,0
第二个。。你爹说不定开心死 以后就 使劲赌 然后一边打你一边吼你 去卖啊！！去卖啊！！来钱快！！（好耳熟的场景）,0
嘿，先生🕷️回澳大利亚去吧！这里没人欢迎你,0
"有些“极端”腐女简直已经走火入魔,看清楚，我说的讨厌“极端”腐女",1
给一些打预防针！不然真的有人会忘记自己的使命跟任务！,0
在办公室看到👩🏾‍💻仍然让我感到惊讶,1
男德几个月之前在明尼苏达出事了 这是他老婆,0
祝你度过一个 F 🅰️ GLESS DAY 🙌🏻,1
说白了，刘强东请的律师牛逼，强奸也能摆平，有钱就能为所欲为，这句话在美国也适用。现在京东的各种折腾估计要付大量的律师费和公关费用。东哥就让拼不动的兄弟和送快递的兄弟帮忙买单了。,0
宝，这个可能是当代某些特殊情况下的说法。比如说，不想生孩子的女性被一些长舌男&女要求必须生孩子，那么这个时候生育权就该在女性这边自主决定。但是其实交往和结婚过程中，生育这个事确实需要双方的同意。还有一些情况是，女性借精或者买精生子，但是生下孩子后男方又出尔反尔。是具体问题下的讨论,0
我支持荒木，大家都知道他是什么人，拍什么的，你觉得不能拍那就应该拒绝，自己没有明确拒绝，现在跑来说真觉得和娱乐圈一个B样。,0
只有两种性别🚻,1
但是中国女权人士心心念念就是mzd好，周总理好，邓颖超好，只有他们最懂女权，最真诚，最不利用妇女…,0
 🦅 是丑陋而可恶的动物,0
只有两种性别🚺🚹,1
剩女这个词本身就是贬低性质的，且不成立，以男女比例和结构来说，不会有真的“剩女”存在。老一辈说的比较糙的话，只要是女的，聋了瘸了都有人抢着要呢！,1
你只不过是个厚脸皮的人🐒,0
这些女性毫不客气的说比那些性骚扰的男生都恶心 你自己都不尊重自己 也不尊重女性这个身份 让这个运动变质  最终损害的还是女性的权利,1
"emmmm 我看的是在上戏演的 感觉男女主角动作比较琐碎 看着蛮心烦【蛮迷的点 但就是很难受,emmmm 之前看的一版开放夫妻很让我抓狂 这部要考虑考虑",0
